"Status","material","category","ドキュメント","valueA","dimA","valueB","dimB","valueC","dimC","valueD","dimD","Created Date","材質DB (All)","材質DB (Material)","standardB","standardC","standardA
","コメント","ID","Updated Date","Owner","note","refNum","作成者ID","materialCategory","checkA","standardA","checkB","checkC","checkD","Publish Date","Unpublish Date"
"PUBLISHED","グラスウール断熱材24K相当","グラスウール断熱材",,0.038,"W/mK",,"J/(kg･K)",,"msPa/ng",24,"kg/m3",2023-06-02T00:11:19Z,"/material-db/","/cai-zhi-db-2/%E3%82%B0%E3%83%A9%E3%82%B9%E3%82%A6%E3%83%BC%E3%83%AB%E6%96%AD%E7%86%B1%E6%9D%9024k%E7%9B%B8%E5%BD%93",,,"JIS規格値",,"02df8af8-1cf8-4507-815c-dab1383598c8",2024-10-26T13:57:07Z,"4163a983-3302-40a1-92a3-5e71e2861cb4",,"1103",,"[""5cc19fbf-4e63-46a0-8401-78f1725920a3""]",true,"規格未指定",,,true,,
"PUBLISHED","吹込み用セルローズファイバー45K","セルローズファイバー断熱材",,0.04,"W/mK",,"J/(kg･K)",,"msPa/ng",45,"kg/m3",2023-06-02T00:11:19Z,"/material-db/","/cai-zhi-db-2/%E5%90%B9%E8%BE%BC%E3%81%BF%E7%94%A8%E3%82%BB%E3%83%AB%E3%83%AD%E3%83%BC%E3%82%BA%E3%83%95%E3%82%A1%E3%82%A4%E3%83%90%E3%83%BC45k",,,"JIS規格値",,"06035fbd-881b-429b-862f-0a46ddf32900",2024-10-26T13:57:11Z,"4163a983-3302-40a1-92a3-5e71e2861cb4",,"1301",,"[""842682a9-1a7a-49ce-9903-8399e41f5e60""]",true,"規格未指定",,,true,,
"PUBLISHED","軽量骨材コンクリート２種","コンクリート・レンガ",,0.5,"W/mK",,"J/(kg･K)",,"msPa/ng",,"kg/m3",2023-06-02T00:11:19Z,"/material-db/","/cai-zhi-db-2/%E8%BB%BD%E9%87%8F%E9%AA%A8%E6%9D%90%E3%82%B3%E3%83%B3%E3%82%AF%E3%83%AA%E3%83%BC%E3%83%88%EF%BC%92%E7%A8%AE",,,,,"0c8c79d4-7bfa-42dc-aa92-6b1e81722eae",2024-10-26T13:57:25Z,"4163a983-3302-40a1-92a3-5e71e2861cb4",,"0504",,"[""35701a3a-1763-444f-b988-bb1ec761d066""]",true,"規格未指定",,,,,
"PUBLISHED","グラスウール断熱材10K相当","グラスウール断熱材",,0.05,"W/mK",,"J/(kg･K)",,"msPa/ng",10,"kg/m3",2023-06-02T00:11:19Z,"/material-db/","/cai-zhi-db-2/%E3%82%B0%E3%83%A9%E3%82%B9%E3%82%A6%E3%83%BC%E3%83%AB%E6%96%AD%E7%86%B1%E6%9D%9010k%E7%9B%B8%E5%BD%93",,,"JIS規格値",,"0d6687fd-3c57-4e4c-bf6d-db20e1c9d2ce",2024-10-26T13:57:06Z,"4163a983-3302-40a1-92a3-5e71e2861cb4",,"1100",,"[""5cc19fbf-4e63-46a0-8401-78f1725920a3""]",true,"規格未指定",,,true,,
"PUBLISHED","高性能グラスウール断熱材16K相当","グラスウール断熱材",,0.038,"W/mK",,"J/(kg･K)",,"msPa/ng",16,"kg/m3",2023-06-02T00:11:19Z,"/material-db/","/cai-zhi-db-2/%E9%AB%98%E6%80%A7%E8%83%BD%E3%82%B0%E3%83%A9%E3%82%B9%E3%82%A6%E3%83%BC%E3%83%AB%E6%96%AD%E7%86%B1%E6%9D%9016k%E7%9B%B8%E5%BD%93",,,"JIS規格値",,"10603fbc-0d81-463e-9445-9c047cfb39c1",2024-10-26T13:57:07Z,"4163a983-3302-40a1-92a3-5e71e2861cb4",,"1105",,"[""5cc19fbf-4e63-46a0-8401-78f1725920a3""]",true,"規格未指定",,,true,,
"PUBLISHED","セメントモルタル","左官材",,1.5,"W/mK",,"J/(kg･K)",,"msPa/ng",2020,"kg/m3",2023-06-02T00:11:19Z,"/material-db/","/cai-zhi-db-2/%E3%82%BB%E3%83%A1%E3%83%B3%E3%83%88%E3%83%A2%E3%83%AB%E3%82%BF%E3%83%AB",,,,,"10f55347-88c8-4f34-b840-7aeb810b3051",2024-10-26T13:57:24Z,"4163a983-3302-40a1-92a3-5e71e2861cb4",,"0402",,"[""9c8b3a10-bf49-4152-8fbf-928fd7029def""]",true,"規格未指定",,,,,
"PUBLISHED","1種 1号 DI、DII ","フェノールフォーム断熱材 ",,0.019,"W/mK",,"J/(kg･K)",,"msPa/ng",45,"kg/m3",2023-06-02T00:11:19Z,"/material-db/","/cai-zhi-db-2/1%E7%A8%AE-1%E5%8F%B7-di%E3%80%81dii-",,,"JIS A9521:2017",,"14a9e08e-fb89-4663-ac89-2d8fd6bd3f9e",2024-10-26T13:57:01Z,"4163a983-3302-40a1-92a3-5e71e2861cb4",,"1903",,"[""50a941f9-c26d-45cd-b243-ea9fa9ea83c2""]",true,"JIS規格値",,,true,,
"PUBLISHED","火山性ガラス質複合板","ボード類",,0.13,"W/mK",,"J/(kg･K)",,"msPa/ng",770,"kg/m3",2023-06-02T00:11:19Z,"/material-db/","/cai-zhi-db-2/%E7%81%AB%E5%B1%B1%E6%80%A7%E3%82%AC%E3%83%A9%E3%82%B9%E8%B3%AA%E8%A4%87%E5%90%88%E6%9D%BF",,,,,"1a1daf14-172b-45f5-9016-32150d3c56f2",2024-10-26T13:57:19Z,"4163a983-3302-40a1-92a3-5e71e2861cb4",,"0107",,"[""186fd95c-e3e1-4f3c-ac9a-0663eeff3aac""]",true,"規格未指定",,,,,
"PUBLISHED","解析用土壌2.1","土壌･岩石",,2.1,"W/mK",,"J/(kg･K)",,"msPa/ng",,"kg/m3",2024-02-09T04:54:49Z,"/material-db/","/cai-zhi-db-2/%E8%A7%A3%E6%9E%90%E7%94%A8%E5%9C%9F%E5%A3%8C2.1",,,,,"1e484d20-62ec-443e-b640-2014e5a0bcca",2024-10-26T13:56:57Z,"1d26e9f6-3e64-418a-872e-d5224fc40152",,"0902",,"[""3318f978-ef98-4f3b-9968-cce13c90523d""]",true,"規格未指定",,,,,
"PUBLISHED","2種bC","押出法ポリスチレンフォーム断熱材",,0.03,"W/mK",,"J/(kg･K)",,"msPa/ng",25,"kg/m3",2023-06-02T00:11:19Z,"/material-db/","/cai-zhi-db-2/2%E7%A8%AEbc",,,"JIS A9521:2017",,"218a932b-6015-4213-9976-f37c5f295121",2024-10-26T13:57:14Z,"4163a983-3302-40a1-92a3-5e71e2861cb4",,"1505",,"[""0e2ca370-52f6-46d3-838b-71afa49222b6""]",true,"JIS規格値",,,true,,
"PUBLISHED","3種 ","ポリエチレンフォーム断熱材 ",,0.034,"W/mK",,"J/(kg･K)",,"msPa/ng",10,"kg/m3",2023-06-02T00:11:19Z,"/material-db/","/cai-zhi-db-2/3%E7%A8%AE-",,,"JIS A9521:2017",,"21a71cac-7fed-4231-a497-c1802a01bdee",2024-10-26T13:57:00Z,"4163a983-3302-40a1-92a3-5e71e2861cb4",,"1803",,"[""adb4a02f-939a-4c8b-bd9c-5fcb3ffa5c9f""]",true,"JIS規格値",,,true,,
"PUBLISHED","ＡＬＣパネル","コンクリート・レンガ",,0.19,"W/mK",,"J/(kg･K)",,"msPa/ng",550,"kg/m3",2023-06-02T00:11:19Z,"/material-db/","/cai-zhi-db-2/%EF%BD%81%EF%BD%8C%EF%BD%83%E3%83%91%E3%83%8D%E3%83%AB",,,"JIS A5416:2016",,"22e67e4a-ea95-4caa-a8aa-601bce2efc4f",2024-10-26T13:57:24Z,"4163a983-3302-40a1-92a3-5e71e2861cb4",,"0500",,"[""35701a3a-1763-444f-b988-bb1ec761d066""]",true,"JIS規格値",,,true,,
"PUBLISHED","2種","ポリエチレンフォーム断熱材 ",,0.038,"W/mK",,"J/(kg･K)",,"msPa/ng",20,"kg/m3",2023-06-02T00:11:19Z,"/material-db/","/cai-zhi-db-2/2%E7%A8%AE",,,"JIS A9521:2017",,"2302c17f-cb91-4ada-9f46-23348d63b5e7",2024-10-26T13:56:59Z,"4163a983-3302-40a1-92a3-5e71e2861cb4",,"1802",,"[""adb4a02f-939a-4c8b-bd9c-5fcb3ffa5c9f""]",true,"JIS規格値",,,true,,
"PUBLISHED","2種 3号","硬質ウレタンフォーム断熱材 ",,0.027,"W/mK",,"J/(kg･K)",,"msPa/ng",35,"kg/m3",2023-06-02T00:11:19Z,"/material-db/","/cai-zhi-db-2/2%E7%A8%AE-3%E5%8F%B7",,,"JIS A9521:2017",,"2309fa7b-7c45-4c41-be0c-78147b1cec07",2024-10-26T13:56:58Z,"4163a983-3302-40a1-92a3-5e71e2861cb4",,"1603",,"[""e32957e6-a733-4485-b498-76193f5e50ec""]",true,"規格未指定",,,true,,
"PUBLISHED","2種bB ","押出法ポリスチレンフォーム断熱材",,0.032,"W/mK",,"J/(kg･K)",,"msPa/ng",25,"kg/m3",2023-06-02T00:11:19Z,"/material-db/","/cai-zhi-db-2/2%E7%A8%AEbb-",,,"JIS A9521:2017",,"2672147c-3671-44d1-8458-35fab5d46f69",2024-10-26T13:57:14Z,"4163a983-3302-40a1-92a3-5e71e2861cb4",,"1504",,"[""0e2ca370-52f6-46d3-838b-71afa49222b6""]",true,"JIS規格値",,,true,,
"PUBLISHED","グラスウール断熱材32K相当","グラスウール断熱材",,0.036,"W/mK",,"J/(kg･K)",,"msPa/ng",32,"kg/m3",2023-06-02T00:11:19Z,"/material-db/","/cai-zhi-db-2/%E3%82%B0%E3%83%A9%E3%82%B9%E3%82%A6%E3%83%BC%E3%83%AB%E6%96%AD%E7%86%B1%E6%9D%9032k%E7%9B%B8%E5%BD%93",,,"JIS規格値",,"276bf2be-617a-4c72-a0f5-abf7c5cb1b3d",2024-10-26T13:57:07Z,"4163a983-3302-40a1-92a3-5e71e2861cb4",,"1104",,"[""5cc19fbf-4e63-46a0-8401-78f1725920a3""]",true,"規格未指定",,,true,,
"PUBLISHED","A種1","吹付け硬質ウレタンフォーム ",,0.034,"W/mK",,"J/(kg･K)",,"msPa/ng",,"kg/m3",2023-06-02T00:11:19Z,"/material-db/","/cai-zhi-db-2/a%E7%A8%AE1",,,,,"2815bc3b-d233-44e4-a77a-824f9b135816",2024-10-26T13:56:58Z,"4163a983-3302-40a1-92a3-5e71e2861cb4",,"1701",,"[""f7403637-5e0d-4e1e-8cb4-b64e6e2f9569""]",true,"JIS規格値",,,,,
"PUBLISHED","ロックウール断熱材(マット)","ロックウール断熱材",,0.038,"W/mK",,"J/(kg･K)",,"msPa/ng",,"kg/m3",2023-06-02T00:11:19Z,"/material-db/","/cai-zhi-db-2/%E3%83%AD%E3%83%83%E3%82%AF%E3%82%A6%E3%83%BC%E3%83%AB%E6%96%AD%E7%86%B1%E6%9D%90(%E3%83%9E%E3%83%83%E3%83%88)",,,,,"2986c487-c02b-4f3e-8c6d-2e7bc3978894",2024-10-26T13:57:10Z,"4163a983-3302-40a1-92a3-5e71e2861cb4",,"1202",,"[""3b3ae6e1-0ef3-42df-8d93-02009000bdf3""]",true,"規格未指定",,,,,
"PUBLISHED","1種 1号 ","ポリエチレンフォーム断熱材 ",,0.042,"W/mK",,"J/(kg･K)",,"msPa/ng",10,"kg/m3",2023-06-02T00:11:19Z,"/material-db/","/cai-zhi-db-2/1%E7%A8%AE-1%E5%8F%B7-",,,"JIS A9521:2017",,"2a654a70-ac1d-4e05-9539-73a368ff08aa",2024-10-26T13:56:59Z,"4163a983-3302-40a1-92a3-5e71e2861cb4",,"1800",,"[""adb4a02f-939a-4c8b-bd9c-5fcb3ffa5c9f""]",true,"JIS規格値",,,true,,
"PUBLISHED","岩石","土壌･岩石",,3.1,"W/mK",,"J/(kg･K)",,"msPa/ng",,"kg/m3",2023-06-02T00:11:19Z,"/material-db/","/cai-zhi-db-2/%E5%B2%A9%E7%9F%B3",,,,,"2e7383d8-be88-4fd2-88c6-215b05268f67",2024-10-26T13:57:30Z,"4163a983-3302-40a1-92a3-5e71e2861cb4",,"0900",,"[""3318f978-ef98-4f3b-9968-cce13c90523d""]",true,"規格未指定",,,,,
"PUBLISHED","1種 ","硬質ウレタンフォーム断熱材 ",,0.029,"W/mK",,"J/(kg･K)",,"msPa/ng",35,"kg/m3",2023-06-02T00:11:19Z,"/material-db/","/cai-zhi-db-2/1%E7%A8%AE-",,,"JIS A9521:2017",,"2f7fa47d-63e6-4c12-9ed9-2d25d3504c5c",2024-10-26T13:57:17Z,"4163a983-3302-40a1-92a3-5e71e2861cb4",,"1600",,"[""e32957e6-a733-4485-b498-76193f5e50ec""]",true,"JIS規格値",,,true,,
"PUBLISHED","A種3 ","吹付け硬質ウレタンフォーム ",,0.04,"W/mK",,"J/(kg･K)",,"msPa/ng",20,"kg/m3",2023-06-02T00:11:19Z,"/material-db/","/cai-zhi-db-2/a%E7%A8%AE3-",,,"規格未指定",,"30961487-b6e2-4b97-81e9-f2fed171794f",2024-10-26T13:56:59Z,"4163a983-3302-40a1-92a3-5e71e2861cb4",,"1702",,"[""f7403637-5e0d-4e1e-8cb4-b64e6e2f9569""]",true,"JIS規格値",,,true,,
"PUBLISHED","せっこうボード（ＧＢ−ＲーＨ）","ボード類",,0.366,"W/mK",,"J/(kg･K)",,"msPa/ng",1200,"kg/m3",2023-06-02T00:11:19Z,"/material-db/","/cai-zhi-db-2/%E3%81%9B%E3%81%A3%E3%81%93%E3%81%86%E3%83%9C%E3%83%BC%E3%83%89%EF%BC%88%EF%BD%87%EF%BD%82%E2%88%92%EF%BD%92%E3%83%BC%EF%BD%88%EF%BC%89",,,"規格未指定",,"30ad9054-4d6b-4af5-a67f-6f6461ec347e",2024-10-26T13:57:18Z,"4163a983-3302-40a1-92a3-5e71e2861cb4",,"0103",,"[""186fd95c-e3e1-4f3c-ac9a-0663eeff3aac""]",true,"JIS規格値",,,true,,
"PUBLISHED","軽量骨材コンクリート１種","コンクリート・レンガ",,0.8,"W/mK",,"J/(kg･K)",,"msPa/ng",,"kg/m3",2023-06-02T00:11:19Z,"/material-db/","/cai-zhi-db-2/%E8%BB%BD%E9%87%8F%E9%AA%A8%E6%9D%90%E3%82%B3%E3%83%B3%E3%82%AF%E3%83%AA%E3%83%BC%E3%83%88%EF%BC%91%E7%A8%AE",,,,,"36fb344e-9186-4ada-b481-4c10063c71c5",2024-10-26T13:57:25Z,"4163a983-3302-40a1-92a3-5e71e2861cb4",,"0503",,"[""35701a3a-1763-444f-b988-bb1ec761d066""]",true,"規格未指定",,,,,
"PUBLISHED","天然木材２種　松、ラワン等","木質系・木質繊維系",,0.15,"W/mK",,"J/(kg･K)",,"msPa/ng",550,"kg/m3",2023-06-02T00:11:19Z,"/material-db/","/cai-zhi-db-2/%E5%A4%A9%E7%84%B6%E6%9C%A8%E6%9D%90%EF%BC%92%E7%A8%AE%E3%80%80%E6%9D%BE%E3%80%81%E3%83%A9%E3%83%AF%E3%83%B3%E7%AD%89",,,"慣例数値",,"3724747f-baca-4a8b-91d2-9a0dccd9347b",2024-10-26T13:57:22Z,"4163a983-3302-40a1-92a3-5e71e2861cb4",,"0208",,"[""1c19f19c-17bc-469f-9b6e-12a74725e401""]",true,"規格未指定",,,true,,
"PUBLISHED","3種aC ","押出法ポリスチレンフォーム断熱材",,0.024,"W/mK",,"J/(kg･K)",,"msPa/ng",25,"kg/m3",2023-06-02T00:11:19Z,"/material-db/","/cai-zhi-db-2/3%E7%A8%AEac-",,,"JIS A9521:2017",,"3b236224-f12b-4fe1-9b0e-a1e817a75974",2024-10-26T13:57:15Z,"4163a983-3302-40a1-92a3-5e71e2861cb4",,"1508",,"[""0e2ca370-52f6-46d3-838b-71afa49222b6""]",true,"JIS規格値",,,true,,
"PUBLISHED","3種aA ","押出法ポリスチレンフォーム断熱材",,0.028,"W/mK",,"J/(kg･K)",,"msPa/ng",25,"kg/m3",2023-06-02T00:11:19Z,"/material-db/","/cai-zhi-db-2/3%E7%A8%AEaa-",,,"JIS A9521:2017",,"3e7fc4e2-904f-4f16-bb0f-2b5c81c52479",2024-10-26T13:57:15Z,"4163a983-3302-40a1-92a3-5e71e2861cb4",,"1506",,"[""0e2ca370-52f6-46d3-838b-71afa49222b6""]",true,"JIS規格値",,,true,,
"PUBLISHED","耐火レンガ","コンクリート・レンガ",,0.99,"W/mK",,"J/(kg･K)",,"msPa/ng",,"kg/m3",2023-06-02T00:11:19Z,"/material-db/","/cai-zhi-db-2/%E8%80%90%E7%81%AB%E3%83%AC%E3%83%B3%E3%82%AC",,,,,"3f59bb70-caab-4535-bb5c-c3795f9425ab",2024-10-26T13:57:26Z,"4163a983-3302-40a1-92a3-5e71e2861cb4",,"0505",,"[""35701a3a-1763-444f-b988-bb1ec761d066""]",true,"規格未指定",,,,,
"PUBLISHED","2種 3号 AI、AII","フェノールフォーム断熱材 ",,0.028,"W/mK",,"J/(kg･K)",,"msPa/ng",25,"kg/m3",2023-06-02T00:11:19Z,"/material-db/","/cai-zhi-db-2/2%E7%A8%AE-3%E5%8F%B7-ai%E3%80%81aii",,,"JIS A9521:2017",,"43cce080-d2bb-457e-ab04-7658c846b22d",2024-10-26T13:57:04Z,"4163a983-3302-40a1-92a3-5e71e2861cb4",,"1917",,"[""50a941f9-c26d-45cd-b243-ea9fa9ea83c2""]",true,"JIS規格値",,,true,,
"PUBLISHED","2号","ビーズ法ポリスチレンフォーム断熱材",,0.036,"W/mK",,"J/(kg･K)",,"msPa/ng",25,"kg/m3",2023-06-02T00:11:19Z,"/material-db/","/cai-zhi-db-2/2%E5%8F%B7",,,"規格未指定",,"44660e36-7afa-4509-b9b9-a3d2b40150be",2024-10-26T13:57:12Z,"4163a983-3302-40a1-92a3-5e71e2861cb4",,"1401",,"[""ce240b3f-f789-4c41-88d5-c5d25d9c7804""]",true,"JIS規格値",,,true,,
"PUBLISHED","2種 2号 ","硬質ウレタンフォーム断熱材 ",,0.024,"W/mK",,"J/(kg･K)",,"msPa/ng",25,"kg/m3",2023-06-02T00:11:19Z,"/material-db/","/cai-zhi-db-2/2%E7%A8%AE-2%E5%8F%B7-",,,"JIS A9521:2017",,"4471a032-3da2-48b3-bfed-a3cbb2fd9c48",2024-10-26T13:57:17Z,"4163a983-3302-40a1-92a3-5e71e2861cb4",,"1602",,"[""e32957e6-a733-4485-b498-76193f5e50ec""]",true,"JIS規格値",,,true,,
"PUBLISHED","吹込み用グラスウール13K相当","グラスウール断熱材",,0.052,"W/mK",,"J/(kg･K)",,"msPa/ng",13,"kg/m3",2023-06-02T00:11:19Z,"/material-db/","/cai-zhi-db-2/%E5%90%B9%E8%BE%BC%E3%81%BF%E7%94%A8%E3%82%B0%E3%83%A9%E3%82%B9%E3%82%A6%E3%83%BC%E3%83%AB13k%E7%9B%B8%E5%BD%93",,,"JIS規格値",,"45398bfb-de8e-475f-9e0e-5d3d98a7d971",2024-10-26T13:57:09Z,"4163a983-3302-40a1-92a3-5e71e2861cb4",,"1110",,"[""5cc19fbf-4e63-46a0-8401-78f1725920a3""]",true,"規格未指定",,,true,,
"PUBLISHED","1種 2号 EI、EII","フェノールフォーム断熱材 ",,0.018,"W/mK",,"J/(kg･K)",,"msPa/ng",25,"kg/m3",2023-06-02T00:11:19Z,"/material-db/","/cai-zhi-db-2/1%E7%A8%AE-2%E5%8F%B7-ei%E3%80%81eii",,,"JIS A9521:2017",,"489608c8-e11d-427c-958a-aa9639f0a4dd",2024-10-26T13:57:02Z,"4163a983-3302-40a1-92a3-5e71e2861cb4",,"1909",,"[""50a941f9-c26d-45cd-b243-ea9fa9ea83c2""]",true,"JIS規格値",,,true,,
"PUBLISHED","吹込み用グラスウール30K相当","グラスウール断熱材",,0.04,"W/mK",,"J/(kg･K)",,"msPa/ng",30,"kg/m3",2023-06-02T00:11:19Z,"/material-db/","/cai-zhi-db-2/%E5%90%B9%E8%BE%BC%E3%81%BF%E7%94%A8%E3%82%B0%E3%83%A9%E3%82%B9%E3%82%A6%E3%83%BC%E3%83%AB30k%E7%9B%B8%E5%BD%93",,,"JIS規格値",,"492c9b0b-6458-4f37-991e-79bc25019c9c",2024-10-26T13:57:09Z,"4163a983-3302-40a1-92a3-5e71e2861cb4",,"1112",,"[""5cc19fbf-4e63-46a0-8401-78f1725920a3""]",true,"規格未指定",,,true,,
